사고년도,사망자수,부상자수,중상자수,경상자수,부상신고자수,시도,시군구,사고유형 대분류,사고유형 중분류,사고유형,가해자법규위반,도로형태 대분류,도로형태,가해당사자 종별,피해당사자 종별,주야구분,발생일,발생시간,발생요일,발생위치X좌표 (EPSG 5179),발생위치Y좌표 (EPSG 5179),경도좌표,위도좌표
2019,1,5,2,2,,서울특별시,동작구,차대차,추돌,추돌,과속,교차로,교차로내,승용차,승용차,주간,2019-02-06,11,금요일,953853,1942637,126.97804492,37.48181733
2019,1,2,1,,,대전광역시,대덕구,차대차,기타,기타,기타,교차로,교차로내,이륜차,승용차,주간,2019-07-17,17,목요일,993006,1827840,127.42185371,36.44676597
2019,1,1,,,,대구광역시,중구,차대사람,횡단중,횡단중,과속,단일로,기타단일로,승용차,보행자,야간,2019-10-08,02,화요일,1099834,1763470,128.6057607,35.86270496
2019,1,1,,,,경기도,고양시,차대사람,횡단중,횡단중,과속,단일로,기타단일로,승용차,보행자,야간,2019-06-29,00,금요일,933563,1964367,126.74659516,37.67642812
2019,1,1,,,,충청남도,예산군,차대차,측면충돌,측면충돌,기타,교차로,교차로내,화물차,이륜차,주간,2019-11-11,13,수요일,932137,1854738,126.74038613,36.68819953
2019,1,18,7,10,,전라남도,순천시,차대차,기타,기타,과속,단일로,기타단일로,승합차,승용차,주간,2020-01-07,08,화요일,978612,1661962,127.26575133,34.95228769
2019,1,1,,,,전라북도,진안군,차대차,기타,기타,기타,단일로,기타단일로,이륜차,승용차,주간,2019-09-08,13,목요일,1006115,1767114,127.56776332,35.90062946
2019,1,1,,,,경상남도,하동군,차대차,기타,기타,신호위반,교차로,교차로내,농기계,화물차,주간,2019-10-01,08,화요일,1035994,1664901,127.89434285,34.97837565
2019,1,3,2,,,제주특별자치도,제주시,차대사람,기타,기타,과속,교차로,교차로내,승용차,보행자,야간,2019-02-05,22,목요일,910936,1502096,126.54108077,33.5070384
2019,1,1,,,,서울특별시,강남구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,야간,2019-02-05,22,목요일,961407,1945530,127.06333169,37.50823969
2019,1,2,1,,,서울특별시,강남구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,화물차,주간,2019-02-11,13,수요일,959104,1945529,127.03727474,37.50813147
2019,1,1,,,,서울특별시,강남구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,이륜차,야간,2019-03-01,00,수요일,958931,1942954,127.03546115,37.48491435
2019,1,1,,,,서울특별시,강남구,차대차,측면충돌,측면충돌,기타,단일로,기타단일로,승용차,승용차,야간,2019-03-01,18,수요일,960592,1947218,127.05401993,37.5234198
2019,1,1,,,,서울특별시,강남구,차대사람,차도통행중,차도통행중,과속,단일로,기타단일로,승용차,보행자,야간,2019-03-02,04,목요일,959294,1944810,127.03946428,37.50165926
2019,1,3,,,2,서울특별시,강남구,차대차,기타,기타,과속,단일로,기타단일로,화물차,승합차,야간,2019-04-07,03,금요일,960453,1947768,127.05241729,37.5283712
2019,1,1,,,,서울특별시,강남구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,주간,2019-04-13,15,목요일,958006,1947460,127.02474124,37.52548689
2019,1,1,,,,서울특별시,강남구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,야간,2019-06-17,23,일요일,959677,1948034,127.04362037,37.53073513
2019,1,1,,,,서울특별시,강남구,차대사람,보도통행중,보도통행중,안전운전 의무 불이행,기타,기타,건설기계,보행자,주간,2019-08-25,12,목요일,958046,1945139,127.02542886,37.50447454
2019,1,1,,,,서울특별시,강남구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,야간,2019-10-23,00,금요일,959880,1944149,127.04612998,37.49572708
2019,1,1,,,,서울특별시,강남구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,주간,2019-11-10,17,화요일,962470,1944382,127.07541751,37.49793614
2019,1,2,1,,,서울특별시,강남구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,승용차,야간,2019-11-18,22,토요일,962801,1944513,127.07915545,37.4991303
2019,1,2,,1,,서울특별시,강남구,차대차,정면충돌,정면충돌,신호위반,교차로,교차로부근,이륜차,승용차,야간,2019-12-08,00,금요일,959616,1944827,127.0429036,37.50222065
2019,1,1,,,,서울특별시,강남구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,교차로,교차로부근,화물차,보행자,야간,2020-01-15,05,수요일,964440,1943029,127.09776931,37.48581893
2019,1,1,,,,서울특별시,강동구,차대사람,횡단중,횡단중,과속,교차로,교차로횡단보도내,승용차,보행자,야간,2019-02-06,05,금요일,969058,1948101,127.14979053,37.53170161
2019,1,1,,,,서울특별시,강동구,차대차,추돌,추돌,기타,교차로,교차로내,승용차,자전거,주간,2019-05-24,15,월요일,967257,1948982,127.12936743,37.53958023
2019,1,1,,,,서울특별시,강동구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,야간,2019-06-22,00,금요일,967904,1949038,127.13668852,37.54010774
