사고년도,사망자수,부상자수,중상자수,경상자수,부상신고자수,시도,시군구,사고유형 대분류,사고유형 중분류,사고유형,가해자법규위반,도로형태 대분류,도로형태,가해당사자 종별,피해당사자 종별,주야구분,발생일,발생시간,발생요일,발생위치X좌표 (EPSG 5179),발생위치Y좌표 (EPSG 5179),경도좌표,위도좌표
2017,1,1,,,,서울특별시,마포구,차대사람,횡단중,횡단중,과속,단일로,기타단일로,승용차,보행자,야간,2017-04-23,23,토요일,951232,1949215,126.94796429,37.54097168
2017,1,1,,,,대전광역시,대덕구,차대차,측면충돌,측면충돌,기타,교차로,교차로내,이륜차,승합차,주간,2017-11-04,15,토요일,992661,1816564,127.4182118,36.34644982
2017,1,1,,,,대전광역시,대덕구,차대사람,횡단중,횡단중,과속,단일로,기타단일로,승용차,보행자,야간,2017-11-15,05,수요일,993276,1819547,127.42503977,36.37334723
2017,1,1,,,,인천광역시,남동구,차대사람,횡단중,횡단중,기타,단일로,기타단일로,화물차,보행자,주간,2017-04-04,08,금요일,931748,1933958,126.72884241,37.40222507
2017,1,1,,,,경기도,오산시,차대사람,횡단중,횡단중,과속,단일로,기타단일로,승용차,보행자,야간,2017-09-06,01,금요일,962121,1904432,127.07350884,37.13782483
2017,1,1,,,,경기도,용인시,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,이륜차,야간,2017-08-24,20,토요일,963750,1924940,127.0908522,37.32274541
2017,1,1,,,,경기도,용인시,차량단독,기타,기타,신호위반,교차로,교차로부근,승합차,없음,주간,2017-09-20,16,금요일,964163,1924964,127.0955124,37.32297777
2017,1,3,2,,,강원도,삼척시,차대차,추돌,추돌,과속,단일로,기타단일로,승용차,승합차,야간,2017-08-07,23,일요일,1151609,1934094,129.21273064,37.39355961
2017,1,3,2,,,충청남도,아산시,차대차,추돌,추돌,기타,단일로,기타단일로,승용차,승용차,야간,2017-03-09,01,일요일,962880,1864600,127.08401212,36.77879951
2017,1,1,,,,충청남도,청양군,차대차,추돌,추돌,과속,단일로,기타단일로,화물차,자전거,주간,2017-09-18,17,토요일,950726,1825343,126.95032893,36.42435844
2017,1,1,,,,충청북도,청주시,차대사람,횡단중,횡단중,과속,교차로,교차로부근,화물차,보행자,야간,2017-12-06,20,토요일,998349,1846722,127.48153632,36.61835724
2017,2,3,,1,,전라남도,장성군,차량단독,전도,전도,과속,단일로,기타단일로,승용차,없음,야간,2017-10-06,04,수요일,923490,1696759,126.65885891,35.26336313
2017,1,1,,,,전라남도,장성군,차대차,추돌,추돌,과속,단일로,기타단일로,승용차,이륜차,주간,2017-10-15,09,금요일,936644,1703757,126.80291599,35.32738187
2017,1,1,,,,경상북도,의성군,차대차,측면충돌,측면충돌,과속,단일로,기타단일로,승용차,이륜차,주간,2017-02-08,13,수요일,1114398,1813301,128.7742676,36.31026847
2017,1,1,,,,경상북도,포항시,차대차,기타,기타,신호위반,교차로,교차로내,승용차,자전거,주간,2017-02-05,07,일요일,1169229,1780494,129.37771098,36.00658197
2017,1,3,1,1,,서울특별시,강남구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,이륜차,야간,2017-01-31,05,화요일,958239,1944403,127.0275518,37.49794369
2017,1,1,,,,서울특별시,강남구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,야간,2017-02-09,22,목요일,958275,1946800,127.02782299,37.51955031
2017,1,1,,,,서울특별시,강남구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,주간,2017-03-02,10,일요일,959803,1947177,127.04509332,37.5230162
2017,1,3,2,,,서울특별시,강남구,차대사람,횡단중,횡단중,과속,단일로,기타단일로,승용차,보행자,야간,2017-03-20,01,목요일,958821,1944637,127.03412275,37.50007897
2017,1,3,1,,1,서울특별시,강남구,차대차,추돌,추돌,과속,교차로,교차로부근,승용차,승용차,야간,2017-03-27,20,목요일,961025,1941975,127.05919795,37.47618095
2017,1,1,,,,서울특별시,강남구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,자전거,야간,2017-04-08,21,화요일,964078,1943702,127.09364184,37.49187097
2017,1,1,,,,서울특별시,강남구,차량단독,전도,전도,안전운전 의무 불이행,단일로,터널안,이륜차,없음,야간,2017-05-15,18,일요일,962545,1942822,127.0763454,37.48387823
2017,1,1,,,,서울특별시,강남구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로부근,승용차,이륜차,야간,2017-06-01,22,금요일,959952,1947309,127.0467723,37.52421245
2017,1,1,,,,서울특별시,강남구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,주간,2017-06-22,14,월요일,960391,1942881,127.05197893,37.48432015
2017,1,1,,,,서울특별시,강남구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,이륜차,승용차,야간,2017-06-27,01,토요일,960084,1941711,127.04856997,37.47376123
2017,1,1,,,,서울특별시,강남구,차대차,정면충돌,정면충돌,신호위반,교차로,교차로부근,이륜차,승용차,야간,2017-09-15,01,일요일,963995,1942882,127.09274307,37.48447671
2017,1,4,,3,,서울특별시,강남구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,주간,2017-09-23,15,목요일,965645,1942629,127.11141783,37.48225915
2017,1,1,,,,서울특별시,강남구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,야간,2017-10-16,01,토요일,958007,1945041,127.0248908,37.50368368
2017,1,1,,,,서울특별시,강남구,차대사람,보도통행중,보도통행중,신호위반,교차로,교차로부근,승용차,보행자,야간,2017-10-16,05,토요일,958912,1946342,127.03505694,37.5154508
2017,1,1,,,,서울특별시,강남구,차대차,추돌,추돌,과속,단일로,기타단일로,승용차,이륜차,주간,2017-10-16,06,토요일,960095,1941705,127.0486947,37.47370762
2017,1,1,,,,서울특별시,강남구,차대차,기타,기타,안전운전 의무 불이행,단일로,교량위,승용차,이륜차,야간,2017-10-17,04,일요일,960749,1947669,127.05577254,37.52749152
2017,1,1,,,,서울특별시,강남구,차대사람,횡단중,횡단중,과속,단일로,기타단일로,승용차,보행자,야간,2017-11-08,00,수요일,959865,1944132,127.04596122,37.4955732
2017,1,1,,,,서울특별시,강남구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,주간,2017-11-14,16,화요일,960990,1946503,127.05856194,37.51699217
2017,1,1,,,,서울특별시,강남구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승합차,이륜차,야간,2017-12-02,00,화요일,960395,1946386,127.0518354,37.51591225
2017,1,2,1,,,서울특별시,강동구,차대차,기타,기타,중앙선 침범,교차로,교차로부근,원동기장치자전거,승합차,야간,2017-03-19,23,수요일,968026,1948333,127.13810019,37.53375751
2017,1,1,,,,서울특별시,강동구,차대사람,보도통행중,보도통행중,과속,교차로,교차로횡단보도내,승용차,보행자,야간,2017-03-20,05,목요일,967231,1948705,127.12908438,37.53707988
2017,1,2,,1,,서울특별시,강동구,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,자전거,보행자,주간,2017-03-21,12,금요일,967596,1948573,127.1332227,37.53590572
2017,1,1,,,,서울특별시,강동구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로내,자전거,건설기계,주간,2017-03-23,11,일요일,970958,1950920,127.1711833,37.55717234
2017,1,2,,1,,서울특별시,강동구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,교량위,승용차,화물차,야간,2017-04-09,03,수요일,965757,1949353,127.1123713,37.54286969
2017,1,1,,,,서울특별시,강동구,차대사람,횡단중,횡단중,과속,기타,기타,승용차,보행자,야간,2017-04-25,02,월요일,967956,1948384,127.13730568,37.53421477
2017,1,4,1,2,,서울특별시,강동구,차대차,측면충돌,측면충돌,안전거리 미확보,단일로,기타단일로,화물차,승용차,야간,2017-04-27,23,수요일,971463,1950646,127.17691154,37.55471844
