사고년도,사망자수,부상자수,중상자수,경상자수,부상신고자수,시도,시군구,사고유형 대분류,사고유형 중분류,사고유형,가해자법규위반,도로형태 대분류,도로형태,가해당사자 종별,피해당사자 종별,주야구분,발생일,발생시간,발생요일,발생위치X좌표 (EPSG 5179),발생위치Y좌표 (EPSG 5179),경도좌표,위도좌표
2013,1,1,,,,울산광역시,남구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,야간,2013-01-27,23,화요일,1166233,1728511,129.3336942,35.53864623
2013,1,1,,,,울산광역시,남구,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,야간,2013-02-08,02,일요일,1165298,1729663,129.32361787,35.5491827
2013,1,1,,,,울산광역시,남구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,주간,2013-03-04,14,토요일,1170010,1723554,129.37429907,35.49333399
2013,1,1,,,,울산광역시,남구,차대사람,기타,기타,과속,단일로,기타단일로,승용차,보행자,야간,2013-05-02,03,금요일,1168673,1729579,129.36081931,35.54785871
2013,1,1,,,,울산광역시,남구,차대사람,기타,기타,안전운전 의무 불이행,기타/불명,기타/불명,자전거,보행자,야간,2013-06-08,18,화요일,1166044,1727851,129.33147615,35.53272906
2013,1,3,1,1,,울산광역시,남구,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,교량위,승용차,이륜차,야간,2013-06-23,03,토요일,1160710,1730158,129.27312407,35.55440034
2013,1,1,,,,울산광역시,남구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,화물차,보행자,주간,2013-06-27,15,수요일,1162657,1728081,129.29417897,35.53536424
2013,1,1,,,,울산광역시,남구,차대사람,기타,기타,보행자 보호의무 위반,단일로,횡단보도상,승용차,보행자,주간,2013-07-01,08,일요일,1159002,1729574,129.25417284,35.54941272
2013,1,1,,,,울산광역시,남구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,야간,2013-07-03,22,화요일,1166684,1727949,129.33855122,35.53350576
2013,1,1,,,,울산광역시,남구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,야간,2013-07-07,19,토요일,1164139,1729053,129.31071576,35.54387976
2013,1,1,,,,울산광역시,남구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,이륜차,승용차,야간,2013-07-11,03,수요일,1166926,1727939,129.34121723,35.53337492
2013,1,1,,,,울산광역시,남구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,야간,2013-08-01,01,금요일,1162643,1727983,129.29400494,35.53448334
2013,1,1,,,,울산광역시,남구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,자전거,주간,2013-09-03,15,토요일,1160191,1728438,129.26706446,35.53897953
2013,1,1,,,,울산광역시,남구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,야간,2013-10-06,22,일요일,1164959,1728138,129.31957129,35.53549756
2013,1,1,,,,울산광역시,남구,차대차,추돌,주정차중 충돌,안전운전 의무 불이행,교차로,교차로부근,승용차,이륜차,야간,2013-11-02,23,월요일,1165541,1728842,129.32613194,35.54174502
2013,1,1,,,,울산광역시,남구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,야간,2013-11-28,23,화요일,1163746,1728888,129.30634891,35.54245777
2013,1,1,,,,울산광역시,남구,차대사람,보도통행중,보도통행중,안전운전 의무 불이행,교차로,교차로부근,건설기계,보행자,야간,2013-12-05,04,화요일,1159753,1730332,129.26260424,35.55612327
2013,1,2,,1,,울산광역시,남구,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,화물차,주간,2013-12-10,11,일요일,1167219,1723533,129.34353932,35.49361871
2013,1,1,,,,울산광역시,남구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,화물차,보행자,야간,2013-12-16,05,토요일,1165100,1728185,129.32113546,35.53589765
2013,1,1,,,,울산광역시,남구,차대차,기타,기타,신호위반,교차로,교차로내,승합차,원동기장치자전거,주간,2013-12-24,17,화요일,1166817,1725817,129.3395789,35.51426981
2013,1,1,,,,울산광역시,남구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로내,자전거,승용차,주간,2013-12-25,15,수요일,1165009,1728650,129.32022684,35.54010342
